ranking,popularity,num_scoring_users,rank,num_episodes,rating,title,average_episode_duration,source,media_type,id,status,num_list_users,mean,nsfw,start_year
{'rank': 5996},12980,350,5996,60,novel,Renjian Zui Deyi,720,novel,ona,50378,finished_airing,1351,6.68,white,2021.0
{'rank': 5997},6407,4228,5997,1,original,Kidou Senshi Gundam 0083: Zeon no Zankou,7140,original,movie,2695,finished_airing,10996,6.67,white,1992.0
{'rank': 5998},7764,2016,5998,1,manga,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi,163,manga,special,10947,finished_airing,6883,6.67,white,2005.0
{'rank': 5999},9255,1625,5999,1,manga,Lupin III: Lupin Ikka Seizoroi,600,manga,special,13247,finished_airing,4351,6.67,white,2012.0
{'rank': 6000},4905,11071,6000,39,game,Medarot Damashii,1475,game,tv,4052,finished_airing,21677,6.67,white,2000.0
{'rank': 6001},13121,328,6001,127,source_inconnue,Meme Iroiro Yume no Tabi,1500,source_inconnue,tv,3436,finished_airing,1300,6.67,white,1983.0
{'rank': 6002},2313,36119,6002,12,mixed_media,Mikagura Gakuen Kumikyoku (TV),1456,mixed_media,tv,28817,finished_airing,91368,6.67,white,2015.0
{'rank': 6003},11373,898,6003,47,original,Mirai Robo Daltanias,1470,original,tv,4411,finished_airing,2249,6.67,white,1979.0
{'rank': 6004},5031,6518,6004,13,light_novel,Nishi no Yoki Majo: Astraea Testament,1447,light_novel,tv,942,finished_airing,20374,6.67,white,2006.0
{'rank': 6005},7393,1159,6005,1,manga,Peace Maker Kurogane Movie 1: Omou Michi,3360,manga,movie,33185,finished_airing,7760,6.67,white,2018.0
{'rank': 6006},9078,2847,6006,526,manga,Perman (1983),720,manga,tv,11595,finished_airing,4624,6.67,white,1983.0
{'rank': 6007},1092,115271,6007,12,visual_novel,Princess Lover!,1420,visual_novel,tv,6201,finished_airing,234879,6.67,gray,2009.0
{'rank': 6008},3148,26250,6008,14,light_novel,Re:Petit kara Hajimeru Isekai Seikatsu,160,light_novel,special,33569,finished_airing,53742,6.67,white,2016.0
{'rank': 6009},4615,5699,6009,12,original,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,1466,original,tv,38006,finished_airing,25007,6.67,white,2022.0
{'rank': 6010},2417,28471,6010,12,original,Revenger,1420,original,tv,53213,finished_airing,85378,6.67,gray,2023.0
{'rank': 6011},10139,766,6011,59,original,Rilu Rilu Fairilu: Yousei no Door,1440,original,tv,34754,finished_airing,3255,6.67,white,2016.0
{'rank': 6012},8765,1974,6012,13,source_inconnue,Sasami: Mahou Shoujo Club 2,1500,source_inconnue,tv,1882,finished_airing,5125,6.67,white,2006.0
{'rank': 6013},7801,3068,6013,4,manga,Ai Tenshi Densetsu Wedding Peach DX,1800,manga,ova,1957,finished_airing,6809,6.67,white,1996.0
{'rank': 6014},6317,5317,6014,51,manga,Ai to Yuuki no Pig Girl Tonde Buurin,1500,manga,tv,2041,finished_airing,11337,6.67,white,1994.0
{'rank': 6015},5340,6247,6015,26,game,Arad Senki: Slap Up Party,1474,game,tv,4657,finished_airing,17444,6.67,white,2009.0
{'rank': 6016},5469,4959,6016,1,light_novel,Baka to Test to Shoukanjuu Mini Anime,236,light_novel,special,36250,finished_airing,16368,6.67,white,2017.0
{'rank': 6017},5490,6589,6017,1,manga,Bakuman. 2nd Season Special,260,manga,special,23369,finished_airing,16249,6.67,white,2012.0
{'rank': 6018},4129,12697,6018,13,manga,Blue Drop: Tenshi-tachi no Gikyoku,1530,manga,tv,2964,finished_airing,31890,6.67,white,2007.0
{'rank': 6019},14662,138,6019,1,4_koma_manga,Bocchi the Rock!: Gotou Futari no Onee-chan Kansatsu Nikki,1406,4_koma_manga,tv_special,59806,finished_airing,851,6.67,white,2022.0
{'rank': 6020},2846,25930,6020,12,novel,Cheer Danshi!!,1470,novel,tv,32483,finished_airing,65260,6.67,white,2016.0
{'rank': 6021},9195,2281,6021,1,manga,Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki,5280,manga,movie,8365,finished_airing,4455,6.67,white,2005.0
{'rank': 6022},5751,5269,6022,12,game,Dream Festival!,1420,game,ona,33045,finished_airing,14458,6.67,white,2016.0
{'rank': 6023},10685,151,6023,4,manga,Duel Masters LOST: Tsuioku no Suishou,1380,manga,ona,58275,finished_airing,2772,6.67,gray,2024.0
{'rank': 6024},6099,5172,6024,6,original,eX-Driver,1504,original,ova,377,finished_airing,12451,6.67,white,2000.0
{'rank': 6025},4477,10766,6025,6,manga,Fate/kaleid liner Prisma☆Illya 3rei!! Specials,300,manga,special,33456,finished_airing,26810,6.67,gray,2016.0
{'rank': 6026},10180,1102,6026,4,original,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,1800,original,ova,3854,finished_airing,3211,6.67,white,2006.0
{'rank': 6027},3109,19889,6027,13,original,Granbelm,1470,original,tv,39417,finished_airing,54989,6.67,white,2019.0
{'rank': 6028},6394,4202,6028,4,manga,Hikyou Tanken Fam & Ihrlie,1760,manga,ova,1181,finished_airing,11044,6.67,white,1995.0
{'rank': 6029},4687,9840,6029,1,other,Inaka Isha,1253,other,movie,3326,finished_airing,24058,6.67,white,2007.0
{'rank': 6030},2700,28897,6030,12,light_novel,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,1430,light_novel,tv,57380,finished_airing,71623,6.67,white,2024.0
{'rank': 6031},5283,9642,6031,1,original,Seikaisuru Kado: Ninovo,1430,original,ona,35369,finished_airing,17930,6.67,white,2017.0
{'rank': 6032},11476,1004,6032,26,novel,Seton Doubutsuki: Risu no Banner,1400,novel,tv,4515,finished_airing,2189,6.67,white,1979.0
{'rank': 6033},9734,1622,6033,38,other,Tatakae! Chou Robot Seimeitai Transformers Victory,1380,other,tv,926,finished_airing,3733,6.67,white,1989.0
{'rank': 6034},4757,13090,6034,12,manga,Teekyuu 4,120,manga,tv,26395,finished_airing,23295,6.67,white,2015.0
{'rank': 6035},3236,23637,6035,13,manga,Tonagura!,1420,manga,tv,1218,finished_airing,50943,6.67,white,2006.0
{'rank': 6036},7766,3478,6036,52,other,Transformers Galaxy Force,1494,other,tv,928,finished_airing,6881,6.67,white,2005.0
{'rank': 6037},5006,9963,6037,1,original,Tsuki ga Kirei: Michinori,1460,original,tv_special,35602,finished_airing,20703,6.67,white,2017.0
{'rank': 6038},12047,345,6038,15,web_manga,Wu Nao Monu 2nd Season,503,web_manga,ona,57575,finished_airing,1839,6.67,white,2024.0
{'rank': 6039},10484,793,6039,37,original,Yamato Takeru,1440,original,tv,4773,finished_airing,2937,6.67,white,1994.0
{'rank': 6040},3959,16037,6040,214,game,Youkai Watch,1410,game,tv,19157,finished_airing,34587,6.67,white,2014.0
{'rank': 6041},663,190026,6041,12,light_novel,Seireitsukai no Blade Dance,1380,light_novel,tv,22877,finished_airing,373989,6.66,white,2014.0
